time_s,manifest_id,active_power_W_DG1,active_power_W_DG2,active_power_W_DG3,active_power_W_DG4,normalized_power_DG1,normalized_power_DG2,normalized_power_DG3,normalized_power_DG4,sharing_error
10.755,f27c2278f5bdb77b,256.438891297019,303.290622638225,322.126641358918,343.143844705838,0.512877782594038,0.505484371063708,0.49557944824449,0.490205492436911,0.0226722901571271
10.76,f27c2278f5bdb77b,256.438888747165,303.290747647352,322.126508260002,343.143855345481,0.51287777749433,0.505484579412253,0.495579243476926,0.490205507636402,0.0226722698579285
10.765,f27c2278f5bdb77b,256.438885966647,303.290873309447,322.12637466302,343.143866060887,0.512877771933294,0.505484788849078,0.495579037943107,0.490205522944124,0.02267224898917
10.77,f27c2278f5bdb77b,256.438882956963,303.290999624591,322.126240567827,343.143876850619,0.512877765913927,0.505484999374318,0.49557883164281,0.490205538358027,0.0226722275558997
10.775,f27c2278f5bdb77b,256.438879719247,303.291126592672,322.126105974447,343.143887713633,0.512877759438494,0.505485210987787,0.495578624576073,0.490205553876619,0.0226722055618758
10.78,f27c2278f5bdb77b,256.43887625424,303.291254213374,322.125970883086,343.1438986493,0.512877752508479,0.505485423688957,0.495578416743209,0.490205569499,0.0226721830094791
10.785,f27c2278f5bdb77b,256.438872562275,303.291382486167,322.125835294134,343.143909657423,0.512877745124551,0.505485637476946,0.495578208144821,0.49020558522489,0.0226721598996603
10.79,f27c2278f5bdb77b,256.438868643278,303.291511410309,322.12569920817,343.143920738243,0.512877737286556,0.505485852350515,0.495577998781799,0.490205601054634,0.0226721362319219
10.795,f27c2278f5bdb77b,256.438864496764,303.291640984846,322.125562625958,343.143931892431,0.512877728993528,0.505486068308077,0.49557778865532,0.490205616989188,0.0226721120043408
10.8,f27c2278f5bdb77b,256.438860121862,303.291771208624,322.125425548442,343.143943121071,0.512877720243725,0.505486285347707,0.495577577766833,0.490205633030102,0.022672087213623
10.805,f27c2278f5bdb77b,256.438855517336,303.291902080303,322.125287976728,343.143954425633,0.512877711034673,0.505486503467171,0.495577366118043,0.490205649179476,0.0226720618551968
10.81,f27c2278f5bdb77b,256.438850681621,303.292033598371,322.125149912074,343.143965807933,0.512877701363243,0.505486722663952,0.495577153710884,0.490205665439904,0.0226720359233386
10.815,f27c2278f5bdb77b,256.43884561287,303.292165761175,322.125011355867,343.143977270088,0.512877691225739,0.505486942935292,0.495576940547487,0.490205681814412,0.0226720094113274
10.82,f27c2278f5bdb77b,256.438840309,303.292298566941,322.124872309597,343.143988814462,0.512877680618,0.505487164278235,0.49557672663015,0.490205698306374,0.0226719823116263
10.825,f27c2278f5bdb77b,256.438834767757,303.292432013807,322.124732774837,343.144000443599,0.512877669535514,0.505487386689678,0.495576511961287,0.490205714919428,0.0226719546160864
10.83,f27c2278f5bdb77b,256.438828986772,303.292566099854,322.124592753208,343.144012160166,0.512877657973545,0.505487610166423,0.495576296543397,0.490205731657379,0.0226719263161651
10.835,f27c2278f5bdb77b,256.438822963631,303.292700823141,322.124452246355,343.144023966873,0.512877645927261,0.505487834705235,0.495576080379008,0.490205748524104,0.0226718974031572
10.84,f27c2278f5bdb77b,256.438816695938,303.292836181738,322.124311255914,343.144035866411,0.512877633391875,0.505488060302896,0.495575863470636,0.490205765523444,0.0226718678684312
10.845,f27c2278f5bdb77b,256.438810181385,303.292972173759,322.12416978348,343.144047861375,0.512877620362771,0.505488286956265,0.495575645820739,0.490205782659108,0.0226718377036629
10.85,f27c2278f5bdb77b,256.438803417818,303.293108797398,322.124027830584,343.1440599542,0.512877606835636,0.50548851466233,0.495575427431667,0.490205799934572,0.0226718069010639
10.855,f27c2278f5bdb77b,256.438796403293,303.293246050957,322.123885398658,343.144072147092,0.512877592806585,0.505488743418262,0.495575208305627,0.490205817352989,0.0226717754535964
10.86,f27c2278f5bdb77b,256.438789136136,303.293383932876,322.123742489017,343.144084441971,0.512877578272272,0.50548897322146,0.495574988444641,0.490205834917102,0.0226717433551708
10.865,f27c2278f5bdb77b,256.438781614994,303.293522441755,322.123599102831,343.144096840419,0.512877563229988,0.505489204069592,0.495574767850509,0.49020585262917,0.0226717106008178
10.87,f27c2278f5bdb77b,256.438773838872,303.293661576379,322.123455241112,343.144109343636,0.512877547677745,0.505489435960632,0.495574546524788,0.490205870490909,0.0226716771868355
10.875,f27c2278f5bdb77b,256.438765807169,303.293801335729,322.123310904696,343.144121952406,0.512877531614339,0.505489668892882,0.495574324468763,0.490205888503436,0.0226716431109024
10.88,f27c2278f5bdb77b,256.4387575197,303.293941718996,322.123166094234,343.14413466707,0.5128775150394,0.505489902864993,0.495574101683436,0.490205906667243,0.0226716083721566
10.885,f27c2278f5bdb77b,256.438748976706,303.294082725585,322.123020810187,343.144147487522,0.512877497953412,0.505490137875975,0.495573878169518,0.490205924982174,0.0226715729712384
10.89,f27c2278f5bdb77b,256.438740178859,303.294224355116,322.122875052827,343.144160413197,0.512877480357719,0.505490373925194,0.495573653927426,0.490205943447425,0.0226715369102939
